ID,VDS,X,Y,X_long,Y_lat
0,VDS0005,227794.8882,322300.5169,127.309837,36.3984336
1,VDS0006,227875.0334,322278.0102,127.3107296,36.39822846
2,VDS0007,232637.8381,322827.9247,127.3638439,36.40303412
3,VDS0008,232861.2316,322941.1118,127.366339,36.40404649
4,VDS0009,237978.7463,324092.4954,127.4234444,36.41423354
5,VDS0010,238017.3447,324178.3254,127.4238789,36.41500546
6,VDS0011,234228.3605,321177.2557,127.3815019,36.38810371
7,VDS0012,234274.0897,321271.7213,127.3820157,36.38895336
8,VDS0013,237112.8499,321681.3285,127.4136751,36.39253916
9,VDS0014,237020.9291,321773.2465,127.4126549,36.39337103
10,VDS0015,234031.6151,319094.492,127.3792179,36.36934173
11,VDS0016,234095.3929,318771.1518,127.3799144,36.36642566
12,VDS0017,232269.727,318440.7727,127.3595583,36.36351137
13,VDS0018,233466.7342,318627.7154,127.3729034,36.36515514
14,VDS0019,233679.5929,318559.3798,127.3752722,36.3645319
15,VDS0020,235148.1499,318646.6341,127.3916391,36.36526569
16,VDS0021,234916.4822,318539.5403,127.389053,36.36430903
17,VDS0022,231842.7845,318029.3307,127.3547844,36.35981783
18,VDS0023,231830.3716,317977.1918,127.354644,36.35934839
19,VDS0024,232619.363,317907.6297,127.3634316,36.3586951
20,VDS0025,232779.1799,317814.2278,127.3652082,36.35784797
21,VDS0026,234912.0163,317772.0847,127.3889688,36.3573932
22,VDS0027,234547.8669,317854.1223,127.3849154,36.35814563
23,VDS0028,238231.5496,318006.1314,127.4259637,36.35937621
24,VDS0029,237090.4337,317880.0844,127.413244,36.35828498
25,VDS0030,236055.4643,317373.7718,127.4016897,36.35376163
26,VDS0031,236116.0926,317459.2022,127.4023691,36.35452922
27,VDS0032,237734.8173,316353.1323,127.4203493,36.34449971
28,VDS0033,237840.3909,316318.9807,127.4215236,36.34418781
29,VDS0034,235564.0093,315346.3681,127.396122,36.33550975
30,VDS0035,235625.6482,315387.4588,127.3968104,36.33587777
31,VDS0036,237711.9664,315875.3279,127.4200716,36.34019483
32,VDS0037,237758.7368,315828.559,127.4205903,36.33977154
33,VDS0038,239376.8438,315476.2413,127.4385959,36.33653181
34,VDS0039,239429.0213,315455.5976,127.4391761,36.33634365
35,VDS0040,240054.5588,315338.5182,127.4461373,36.33526277
36,VDS0041,233268.9027,314844.6059,127.3705376,36.33107004
37,VDS0042,233323.6131,314799.017,127.3711449,36.33065732
38,VDS0043,234120.9433,314430.722,127.380009,36.32731047
39,VDS0044,234169.7734,314408.1829,127.3805518,36.32710563
40,VDS0045,228168.2096,313414.5086,127.313677,36.31834503
41,VDS0046,228226.4699,313605.3705,127.3143327,36.32006332
42,VDS0047,233812.6134,312629.2996,127.3764971,36.31108753
43,VDS0048,233971.8397,312798.8009,127.3782774,36.31260942
44,VDS0049,235484.6978,312719.2108,127.3951191,36.31183769
45,VDS0050,235502.2176,312685.0084,127.3953126,36.31152883
46,VDS0051,239621.345,312977.2722,127.4411923,36.31400213
47,VDS0052,239607.1059,312834.6413,127.4410265,36.31271738
48,VDS0053,239872.5005,312373.5172,127.443958,36.30855098
49,VDS0054,239874.5137,312384.9561,127.443981,36.30865398
50,VDS0059,232451.9044,317322.732,127.3615415,36.35342989
51,VDS0060,232516.5999,317433.3893,127.3622669,36.35442491
52,VDS0063,237746.92,319380.0335,127.4206308,36.37177632
53,VDS0064,237703.0857,319327.2438,127.4201398,36.37130232
54,VDS0065,238593.5359,318734.3537,127.4300328,36.36592417
55,VDS0066,238640.7895,318744.2178,127.4305598,36.36601116
56,VDS0067,239914.8237,318360.6875,127.4447358,36.36250297
57,VDS0068,239145.3601,316892.2908,127.4360888,36.34930206
58,VDS0069,239184.6189,316820.7728,127.4365225,36.34865598
59,VDS0070,239879.2155,316416.1141,127.4442395,36.34498086
60,VDS0071,238672.0308,315302.9404,127.430737,36.33499865
61,VDS0072,238698.4308,315336.9154,127.4310328,36.33530376
62,VDS0073,240456.0248,313550.9949,127.4505161,36.31913762
63,VDS0074,240219.5494,313614.9281,127.4478861,36.31972365
64,VDS0075,239059.0139,313741.7021,127.434969,36.32091381
65,VDS0076,239077.6875,313702.7248,127.435175,36.32056181
66,VDS0077,238678.1504,314046.7439,127.4307429,36.32367808
67,VDS0078,236988.6676,315795.0233,127.4120112,36.33949921
68,VDS0079,236641.1435,314341.6395,127.408072,36.32641516
69,VDS0080,236630.7993,314286.424,127.4079542,36.32591798
70,VDS0081,236758.348,313777.0369,127.4093506,36.32132272
71,VDS0082,236729.3056,313815.8939,127.409029,36.32167399
72,VDS0083,236164.5831,312078.9656,127.4026598,36.30604277
73,VDS0084,235321.2475,314277.2944,127.3933697,36.32588459
74,VDS0085,235347.2417,314345.0183,127.3936623,36.32649394
75,VDS0086,235149.5424,314807.3955,127.3914814,36.33066794
76,VDS0087,233091.5869,316728.2868,127.3686427,36.3480512
77,VDS0088,233352.1919,318789.4087,127.3716341,36.36661623
78,VDS0089,236382.8717,320594.8136,127.4054878,36.38277591
79,VDS0090,236236.1762,323908.8337,127.4040075,36.41264578
80,VDS0091,236246.2005,323999.9821,127.4041235,36.41346679
81,VDS0092,233529.2136,322049.0735,127.3737471,36.39598478
82,VDS0093,231620.4505,320875.2386,127.3524229,36.38547136
83,VDS0094,231635.9016,320804.2251,127.3525922,36.38483091
84,VDS0095,228500.2093,319952.0608,127.3176132,36.37724957
85,VDS0096,228551.1804,319951.451,127.3181812,36.37724256
86,VDS0097,229235.4953,319630.5817,127.3257952,36.37433045
87,VDS0098,229285.7594,319699.1306,127.3263579,36.37494666
88,VDS0099,228782.7069,318757.7933,127.3207172,36.36647885
89,VDS0100,228782.7752,318842.988,127.3207211,36.36724659
90,VDS0101,229858.7766,316791.9977,127.332632,36.34873101
91,VDS0102,229893.6516,316748.3727,127.3330188,36.34833679
92,VDS0103,231031.6516,316795.5977,127.3456979,36.34872637
93,VDS0104,231013.6516,316745.6477,127.3454954,36.34827682
94,VDS0105,230507.5016,316334.4477,127.3398409,36.34458739
95,VDS0107,231347.9516,315351.2477,127.3491634,36.33570014
96,VDS0108,231378.4516,315347.9977,127.349503,36.33566986
97,VDS0109,230844.7016,314980.7477,127.3435435,36.33237756
98,VDS0110,230842.4516,314935.4977,127.3435166,36.33196985
99,VDS0112,231231.3015,314013.6977,127.3478106,36.32365036
100,VDS0113,231258.3015,313998.6977,127.3481107,36.32351431
101,VDS0116,226168.9134,318019.1401,127.291568,36.35989698
102,VDS0117,226212.3995,318033.8081,127.292053,36.36002798
103,VDS0118,244236.8793,316421.2658,127.492781,36.34483698
