,Date,ToVol,SmVol,MeVol,LaVol,Speed,OccRate,hour,label3,label2
0,2017-04-11 2:50,17,12,4,1,53.3,0.89,2,Fast,Fast
1,2017-04-15 6:50,100,71,28,1,53.3,3.56,6,Fast,Fast
2,2017-04-13 2:05,14,9,5,0,57.4,0.63,2,Fast,Fast
3,2017-04-19 22:55,59,46,13,0,50.0,2.51,22,Fast,Fast
4,2017-04-03 6:20,104,66,35,3,56.9,3.6,6,Fast,Fast
5,2017-04-16 6:55,58,38,19,1,54.8,2.34,6,Fast,Fast
6,2017-04-28 0:25,32,23,8,1,57.7,1.15,0,Fast,Fast
7,2017-04-11 4:50,39,22,15,2,49.1,2.32,4,Fast,Fast
8,2017-04-11 3:00,74,68,5,1,40.9,4.92,3,Fast,Fast
9,2017-04-06 4:50,74,73,1,0,42.9,3.23,4,Fast,Fast
10,2017-04-27 4:50,30,20,10,0,58.4,1.25,4,Fast,Fast
11,2017-04-07 22:45,59,48,11,0,52.7,2.55,22,Fast,Fast
12,2017-04-02 4:15,21,9,12,0,57.2,0.84,4,Fast,Fast
13,2017-04-08 21:35,102,83,19,0,44.0,5.25,21,Fast,Fast
14,2017-04-27 6:45,118,78,37,3,57.8,4.22,6,Fast,Fast
15,2017-04-24 0:45,15,10,5,0,62.6,0.57,0,Fast,Fast
16,2017-04-23 1:40,23,19,4,0,54.8,0.95,1,Fast,Fast
17,2017-04-08 4:40,29,19,10,0,54.1,1.16,4,Fast,Fast
18,2017-04-03 1:35,16,10,6,0,53.5,0.61,1,Fast,Fast
19,2017-04-24 0:50,19,15,4,0,56.7,0.83,0,Fast,Fast
20,2017-04-20 22:05,95,72,23,0,51.8,4.96,22,Fast,Fast
21,2017-04-11 0:00,39,30,8,1,60.3,1.63,0,Fast,Fast
22,2017-04-05 6:55,131,81,48,2,49.8,5.48,6,Fast,Fast
23,2017-04-03 1:10,22,12,10,0,54.6,0.91,1,Fast,Fast
24,2017-04-27 23:50,42,27,15,0,55.4,2.17,23,Fast,Fast
25,2017-04-15 22:15,92,73,18,1,47.6,4.26,22,Fast,Fast
26,2017-04-18 23:05,88,66,18,4,48.6,4.18,23,Fast,Fast
27,2017-04-11 3:55,54,50,4,0,47.3,2.27,3,Fast,Fast
28,2017-04-03 6:00,89,64,25,0,52.9,4.02,6,Fast,Fast
29,2017-04-26 4:35,30,22,8,0,63.1,1.15,4,Fast,Fast
30,2017-04-16 4:40,39,30,9,0,64.4,1.41,4,Fast,Fast
31,2017-04-02 5:50,42,29,12,1,57.7,1.63,5,Fast,Fast
32,2017-04-20 21:50,101,82,19,0,44.8,5.12,21,Fast,Fast
33,2017-04-08 1:20,38,31,7,0,53.2,1.49,1,Fast,Fast
34,2017-04-26 2:15,18,7,11,0,55.3,1.02,2,Fast,Fast
35,2017-04-28 5:10,34,20,14,0,61.5,1.5,5,Fast,Fast
36,2017-04-24 3:15,10,7,3,0,70.4,0.39,3,Fast,Fast
37,2017-04-05 0:40,45,32,13,0,60.6,1.48,0,Fast,Fast
38,2017-04-24 0:15,19,13,6,0,52.3,0.84,0,Fast,Fast
39,2017-04-09 0:10,22,16,6,0,55.5,0.94,0,Fast,Fast
40,2017-04-24 5:35,61,40,20,1,58.3,2.29,5,Fast,Fast
41,2017-04-03 6:10,90,52,38,0,55.4,3.5,6,Fast,Fast
42,2017-04-18 2:20,17,9,7,1,68.8,0.72,2,Fast,Fast
43,2017-04-11 2:20,10,6,4,0,53.1,0.47,2,Fast,Fast
44,2017-04-18 23:25,49,40,9,0,53.5,2.09,23,Fast,Fast
45,2017-04-08 2:55,18,10,8,0,65.9,0.9,2,Fast,Fast
46,2017-04-08 3:15,30,18,12,0,60.0,1.25,3,Fast,Fast
47,2017-04-19 6:00,54,40,14,0,52.2,2.31,6,Fast,Fast
48,2017-04-29 22:10,89,62,27,0,45.0,4.57,22,Fast,Fast
49,2017-04-23 5:00,18,9,8,1,60.0,0.85,5,Fast,Fast
50,2017-04-15 17:35,135,94,39,2,45.6,5.92,17,Slow,Slow
51,2017-04-25 10:40,156,107,48,1,46.9,6.85,10,Slow,Slow
52,2017-04-05 16:40,132,65,65,2,47.0,6.06,16,Slow,Slow
53,2017-04-07 14:35,196,130,62,4,45.0,8.38,14,Slow,Slow
54,2017-04-28 17:15,185,136,46,3,44.7,7.76,17,Slow,Slow
55,2017-04-18 17:20,152,119,31,2,47.0,5.97,17,Slow,Slow
56,2017-04-15 14:15,183,129,54,0,39.5,9.15,14,Slow,Slow
57,2017-04-17 15:55,130,97,31,2,48.5,5.62,15,Slow,Slow
58,2017-04-21 13:10,168,121,46,1,46.3,7.17,13,Slow,Slow
59,2017-04-20 13:25,151,102,46,3,45.4,6.68,13,Slow,Slow
60,2017-04-13 15:05,143,96,45,2,47.7,6.19,15,Slow,Slow
61,2017-04-25 10:20,124,80,43,1,51.2,5.14,10,Slow,Slow
62,2017-04-27 17:55,142,94,43,5,43.5,6.47,17,Slow,Slow
63,2017-04-02 17:45,132,93,37,2,49.7,5.55,17,Slow,Slow
64,2017-04-27 15:15,160,113,46,1,44.9,7.18,15,Slow,Slow
65,2017-04-13 16:25,148,109,37,2,47.3,6.67,16,Slow,Slow
66,2017-04-14 16:35,178,128,48,2,49.4,7.87,16,Slow,Slow
67,2017-04-21 12:05,157,113,44,0,45.2,7.3,12,Slow,Slow
68,2017-04-06 16:25,128,105,21,2,47.5,5.46,16,Slow,Slow
69,2017-04-29 15:35,210,166,42,2,38.7,12.73,15,Slow,Slow
70,2017-04-10 11:05,128,94,33,1,49.6,5.41,11,Slow,Slow
71,2017-04-18 12:20,107,62,40,5,48.0,4.52,12,Slow,Slow
72,2017-04-27 15:35,135,98,35,2,46.1,6.09,15,Slow,Slow
73,2017-04-15 10:25,104,65,35,4,46.2,12.04,10,Slow,Slow
74,2017-04-29 10:55,140,107,32,1,45.4,7.18,10,Slow,Slow
75,2017-04-12 13:20,165,112,51,2,47.9,7.07,13,Slow,Slow
76,2017-04-11 13:10,143,99,43,1,47.2,6.51,13,Slow,Slow
77,2017-04-15 12:55,158,103,48,7,15.1,69.92,12,Slow,Slow
78,2017-04-09 14:45,181,127,52,2,41.1,10.32,14,Slow,Slow
79,2017-04-10 11:35,137,89,46,2,50.1,6.06,11,Slow,Slow
80,2017-04-10 16:25,145,118,27,0,47.8,7.96,16,Slow,Slow
81,2017-04-12 16:10,169,132,34,3,46.4,7.71,16,Slow,Slow
82,2017-04-06 17:50,181,131,44,6,42.7,8.2,17,Slow,Slow
83,2017-04-04 16:30,146,111,34,1,46.1,6.15,16,Slow,Slow
84,2017-04-08 13:25,158,98,59,1,42.6,8.41,13,Slow,Slow
85,2017-04-07 10:25,132,80,52,0,50.1,6.11,10,Slow,Slow
86,2017-04-03 16:35,148,107,40,1,50.3,6.36,16,Slow,Slow
87,2017-04-17 13:20,139,116,22,1,46.8,6.27,13,Slow,Slow
88,2017-04-22 14:20,168,125,42,1,38.1,7.99,14,Slow,Slow
89,2017-04-17 15:15,151,123,27,1,43.0,7.74,15,Slow,Slow
90,2017-04-24 12:00,157,105,51,1,46.3,7.13,12,Slow,Slow
91,2017-04-22 17:55,123,94,29,0,45.2,5.26,17,Slow,Slow
92,2017-04-23 12:50,156,117,38,1,38.6,8.02,12,Slow,Slow
93,2017-04-11 10:10,140,86,54,0,47.6,6.15,10,Slow,Slow
94,2017-04-27 13:40,144,99,45,0,45.8,6.25,13,Slow,Slow
95,2017-04-27 14:45,151,103,48,0,48.8,6.11,14,Slow,Slow
96,2017-04-13 14:50,149,101,48,0,44.6,6.35,14,Slow,Slow
97,2017-04-07 12:25,152,109,39,4,49.9,6.28,12,Slow,Slow
98,2017-04-06 12:00,182,142,38,2,46.0,8.15,12,Slow,Slow
99,2017-04-07 17:05,150,113,36,1,39.3,20.65,17,Slow,Slow
100,2017-04-18 18:50,157,123,33,1,45.7,6.6,18,Jam,Slow
101,2017-04-09 8:50,137,103,32,2,44.3,8.77,8,Jam,Slow
102,2017-04-07 9:45,172,109,60,3,49.3,8.09,9,Jam,Slow
103,2017-04-21 18:15,180,126,52,2,37.1,17.23,18,Jam,Slow
104,2017-04-08 7:05,82,46,35,1,58.4,3.55,7,Jam,Slow
105,2017-04-25 20:20,81,63,18,0,46.0,4.04,20,Jam,Slow
106,2017-04-17 7:50,263,184,79,0,44.8,11.59,7,Jam,Slow
107,2017-04-07 20:45,116,87,28,1,43.5,5.58,20,Jam,Slow
108,2017-04-27 7:00,148,92,54,2,51.7,5.77,7,Jam,Slow
109,2017-04-09 9:10,109,75,30,4,54.7,4.01,9,Jam,Slow
110,2017-04-25 20:55,140,120,19,1,49.3,6.04,20,Jam,Slow
111,2017-04-22 8:05,104,75,26,3,53.5,4.25,8,Jam,Slow
112,2017-04-19 20:45,94,75,19,0,44.4,4.5,20,Jam,Slow
113,2017-04-24 9:50,140,95,45,0,50.9,5.94,9,Jam,Slow
114,2017-04-16 8:10,73,57,15,1,52.6,2.81,8,Jam,Slow
115,2017-04-11 9:30,142,93,48,1,47.0,6.95,9,Jam,Slow
116,2017-04-17 19:00,136,104,30,2,43.0,6.21,19,Jam,Slow
117,2017-04-03 19:20,137,109,28,0,43.6,7.27,19,Jam,Slow
118,2017-04-22 9:45,156,107,49,0,48.8,6.11,9,Jam,Slow
119,2017-04-08 9:30,147,104,43,0,51.0,6.1,9,Jam,Slow
120,2017-04-27 19:45,98,80,16,2,47.0,4.76,19,Jam,Slow
121,2017-04-29 9:10,119,98,21,0,28.6,7.34,9,Jam,Slow
122,2017-04-15 20:25,109,81,27,1,48.4,5.49,20,Jam,Slow
123,2017-04-18 19:30,149,124,25,0,44.7,6.93,19,Jam,Slow
124,2017-04-25 19:00,102,78,23,1,40.8,11.96,19,Jam,Slow
125,2017-04-20 7:10,179,124,54,1,54.9,6.58,7,Jam,Slow
126,2017-04-21 9:15,176,113,60,3,48.7,7.37,9,Jam,Slow
127,2017-04-27 18:20,203,147,53,3,37.3,9.94,18,Jam,Slow
128,2017-04-09 18:20,150,107,39,4,47.6,6.11,18,Jam,Slow
129,2017-04-29 8:05,89,64,23,2,44.5,4.73,8,Jam,Slow
130,2017-04-15 18:05,202,145,55,2,42.8,9.49,18,Jam,Slow
131,2017-04-25 19:25,147,116,30,1,43.0,7.5,19,Jam,Slow
132,2017-04-02 9:25,122,82,38,2,51.7,6.2,9,Jam,Slow
133,2017-04-09 18:15,128,94,31,3,44.8,5.83,18,Jam,Slow
134,2017-04-22 7:50,118,88,30,0,58.3,4.02,7,Jam,Slow
135,2017-04-13 8:25,183,136,43,4,45.4,8.14,8,Jam,Slow
136,2017-04-12 19:30,149,119,30,0,45.9,7.37,19,Jam,Slow
137,2017-04-02 19:40,104,75,29,0,47.1,4.79,19,Jam,Slow
138,2017-04-09 8:15,86,61,23,2,55.6,2.87,8,Jam,Slow
139,2017-04-10 7:40,231,168,61,2,35.7,16.07,7,Jam,Slow
140,2017-04-11 8:50,218,156,60,2,37.6,13.45,8,Jam,Slow
141,2017-04-05 9:55,182,119,61,2,45.8,8.39,9,Jam,Slow
142,2017-04-03 9:15,174,137,36,1,51.5,6.64,9,Jam,Slow
143,2017-04-09 20:15,101,87,12,2,43.6,6.17,20,Jam,Slow
144,2017-04-10 8:00,223,153,65,5,34.0,36.07,8,Jam,Slow
145,2017-04-06 7:50,213,173,35,5,28.3,33.04,7,Jam,Slow
146,2017-04-23 18:35,123,84,36,3,50.6,4.68,18,Jam,Slow
147,2017-04-07 20:10,157,133,24,0,44.8,7.96,20,Jam,Slow
148,2017-04-26 19:20,137,102,33,2,39.6,6.97,19,Jam,Slow
149,2017-04-23 8:00,66,51,14,1,58.1,2.31,8,Jam,Slow
